Song Name,Artist,Genre
Justified & Ancient - Stand by the Jams,The KLF,"acid house,ambient house,big beat,hip house"
I Know You Want Me (Calle Ocho),Pitbull,"dance pop,miami hip hop,pop"
From the Bottom of My Broken Heart,Britney Spears,"dance pop,pop"
Apeman - 2014 Remastered Version,The Kinks,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter"
You Can't Always Get What You Want,The Rolling Stones,"album rock,british invasion,classic rock,rock"
Don't Stop - 2004 Remaster,Fleetwood Mac,"album rock,classic rock,rock,soft rock,yacht rock"
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid","pop,electropop,etherpop,indie poptimism,pop,pop,pop r&b"
Something About The Way You Look Tonight - Edit Version,Elton John,"glam rock,mellow gold,piano rock,rock"
Juke Box Hero,Foreigner,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,rock,soft rock"
Mercy,Shawn Mendes,"canadian pop,pop,viral pop"
It's Like That,"Run–D.M.C., Jason Nevins","east coast hip hop,golden age hip hop,hip hop,old school hip hop,queens hip hop,rap"
Here Without You,3 Doors Down,"alternative metal,nu metal,post-grunge,rock"
Listen to the Band - Single Version,The Monkees,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,heartland rock,mellow gold,psychedelic rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop"
With A Little Luck - Remastered 1993,Wings,"album rock,beatlesque,classic rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
Sing,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
Mississippi,Pussycat,nederpop
Flava,Nathaniel,"australian pop,australian talent show"
Baby Sittin' Boogie - Radio Version,Buzz Clifford,
Dr. Love,Tina Charles,"disco,hi-nrg"
Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),"Glee Cast, Gwyneth Paltrow","glee club,post-teen pop"
I'm Free,"The Soup Dragons, Junior Reid","britpop,c86,madchester,scottish indie,lovers rock,old school dancehall,reggae,reggae fusion,roots reggae"
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,"pop,uk pop"
If You Can't Give Me Love - 2017 Remaster,Suzi Quatro,glam rock
Take Yourself Home,Troye Sivan,"australian pop,pop,viral pop"
Give It Up,KC & The Sunshine Band,"disco,mellow gold,new wave pop,soft rock,soul"
Homecoming,Hey Monday,"candy pop,neon pop punk,pixie,pop emo,pop punk"
Funhouse - Main Version - Clean,P!nk,"dance pop,pop"
Dangerous Woman,Ariana Grande,pop
Abergavenny,Marty Wilde,"brill building pop,merseybeat,rock-and-roll"
That's All You Gotta Do,Brenda Lee,"adult standards,easy listening,lounge,rockabilly"
Its Alright,Deni Hines,"australian dance,australian pop"
Metal Guru,T. Rex,"classic rock,glam rock,protopunk,rock"
Heaven Is A Place On Earth,Belinda Carlisle,"new romantic,new wave pop,soft rock"
Paper In Fire,John Mellencamp,"album rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
Wrecking Ball,Miley Cyrus,pop
Deep End,Birdy,"neo mellow,uk pop"
Stay The Night - Featuring Hayley Williams Of Paramore,"Zedd, Hayley Williams","complextro,edm,german techno,pop,pop dance,art pop"
Californication,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave,rock"
We Will Rock You - Remastered 2011,Queen,"classic rock,glam rock,rock"
My Island Home,Warumpi Band,"australian indigenous,australian rock"
7 Days,Craig David,british soul
Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,Monte Video,
Regardless,"Jarryd James, Julia Stone","australian alternative pop,australian r&b,australian singer-songwriter"
Convoy,C.W. McCall,"classic country pop,country rock,truck-driving country"
Pretty Flamingo,Manfred Mann,"british blues,british invasion,classic rock,singer-songwriter"
You Know I'm No Good,Amy Winehouse,"british soul,neo soul"
Turn Around (feat. Ne-Yo),"Conor Maynard, Ne-Yo","post-teen pop,uk pop,viral pop,dance pop,pop,r&b,urban contemporary"
Morning After Dark (Featuring Nelly Furtado & SoShy),Timbaland,"dance pop,pop,pop rap"
Somebody That I Used To Know,"Gotye, Kimbra","australian pop,bergen indie,electropop,nz pop"
Matthew & Son - Stereo Version,Yusuf / Cat Stevens,"british folk,classic rock,folk,folk rock,mellow gold,singer-songwriter"
Heaven & Hell - US Single Version,The Easybeats,"australian rock,british blues,freakbeat,protopunk,psychedelic rock"
You Are The Sunshine Of My Life,Stevie Wonder,"motown,soul"
Too Good At Goodbyes,Sam Smith,"pop,uk pop"
You're the One,Petula Clark,"adult standards,bubblegum pop,easy listening,folk rock,merseybeat,rock-and-roll,rockabilly"
We Made You,Eminem,"detroit hip hop,hip hop,rap"
Round Round,Sugababes,"dance pop,europop,girl group,talent show"
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",viral trap
Poker Face,Lady Gaga,"art pop,dance pop,pop"
It Must Be Love,Madness,"britpop,new wave,ska,ska revival"
